,0
0,7.0
1,6.0
2,5.0
3,3.0
4,11.0
5,11.0
6,11.0
7,13.0
8,19.0
9,22.0
10,26.0
11,24.0
12,30.0
13,26.0
14,32.0
15,32.0
16,41.0
17,48.0
18,67.0
19,39.0
20,54.0
21,49.0
22,72.0
23,66.0
24,66.0
25,57.0
26,61.0
27,60.0
28,58.0
29,54.0
30,45.0
31,52.0
32,53.0
33,47.0
34,48.0
35,37.0
36,32.0
37,34.0
38,18.0
39,30.0
