,0
0,13.0
1,10.0
2,21.0
3,21.0
4,37.0
5,38.0
6,63.0
7,68.0
8,64.0
9,70.0
10,88.0
11,95.0
12,93.0
13,91.0
14,78.0
15,65.0
16,41.0
17,46.0
18,21.0
19,21.0
