,0
0,62.0
1,71.0
2,95.0
3,116.0
4,137.0
5,134.0
6,113.0
7,86.0
8,31.0
9,34.0
10,57.0
11,50.0
12,141.0
13,125.0
14,133.0
15,117.0
16,58.0
17,75.0
18,43.0
19,40.0
